#Frame     RMSD_00002
 8876423       2.4662
 4937680       2.4674
 8878125       2.4706
 4938640       2.4718
 8875325       2.4725
 8875043       2.4747
 4937760       2.4795
 8878115       2.4810
 8013208       2.4821
 4444277       2.4822
 8875358       2.4830
 4938721       2.4838
 8019740       2.4842
 4444303       2.4848
 8875030       2.4851
 8876357       2.4871
 7685615       2.4882
 4443601       2.4917
 8875424       2.4934
 4444197       2.4937
 4444283       2.4942
 7685898       2.4951
 8013386       2.4975
 4443415       2.4976
 8019775       2.4996
 4443295       2.5002
 4443561       2.5005
 7530838       2.5032
 7685756       2.5036
 4939600       2.5041
 4578674       2.5048
 4444210       2.5056
 4443309       2.5090
 4443428       2.5095
 4940559       2.5099
 7686041       2.5111
 4578114       2.5120
 4443575       2.5125
 8877659       2.5147
 7530852       2.5151
 4939679       2.5161
 4578682       2.5167
 7530678       2.5197
 4443286       2.5209
 4940639       2.5218
 4578123       2.5239
 4579459       2.5283
 8021164       2.5286
 7530704       2.5315
 8019972       2.5329
 7685473       2.5334
 8021234       2.5353
 7549601       2.5367
 4576995       2.5370
 4576985       2.5402
 4418830       2.5403
 8021199       2.5437
 4419348       2.5446
 7685579       2.5454
 8877801       2.5460
 4935760       2.5467
 8019792       2.5480
 7549610       2.5484
 7685543       2.5487
 4577095       2.5488
 4418869       2.5490
 8014002       2.5506
 8021270       2.5511
 4582034       2.5522
 4577554       2.5525
 7549495       2.5530
 4419389       2.5532
 4936401       2.5545
 4935814       2.5584
 8013860       2.5592
 4418909       2.5607
 7689059       2.5612
 4576994       2.5614
 4582025       2.5639
 4577563       2.5642
 7549512       2.5647
 4419429       2.5649
 4936454       2.5662
 8877792       2.5663
 4577003       2.5731
 4870354       2.5741
 8014287       2.5745
 4419869       2.5760
 4420907       2.5816
 8016128       2.5826
 8014145       2.5834
 4582291       2.5838
 4419909       2.5845
 4870408       2.5857
 4420947       2.5901
 8045458       2.5920
 4582277       2.5923
 8878005       2.5930
 7682569       2.5955
 4419949       2.5961
 8016586       2.5974
 4559553       2.5990
 4559152       2.6016
 4420987       2.6017
 7682463       2.6024
 4582313       2.6038
 8016301       2.6045
 8045724       2.6067
 7682587       2.6070
 4559194       2.6100
 4559646       2.6105
 4582874       2.6134
 8045445       2.6135
 7682480       2.6139
 4582364       2.6163
 4933142       2.6165
 8020283       2.6185
 4933041       2.6211
 4559286       2.6214
 4582876       2.6218
 4557646       2.6233
 4871145       2.6243
 4582287       2.6246
 8877934       2.6254
 4557246       2.6258
 4933042       2.6279
 8045711       2.6280
 4559253       2.6315
 4933032       2.6325
 4582885       2.6332
 4557286       2.6342
 4557739       2.6347
 8045183       2.6352
 4582475       2.6360
 8874725       2.6371
 4349186       2.6406
 4559346       2.6428
 4443795       2.6443
 8017664       2.6444
 4586318       2.6449
 4557379       2.6455
 7680558       2.6461
 7686857       2.6475
 4349226       2.6489
 4350744       2.6492
 8017674       2.6512
 4443296       2.6526
 7685188       2.6544
 4933840       2.6548
 4557346       2.6555
 4586293       2.6562
 7680585       2.6574
 4350783       2.6575
 8020272       2.6592
 4443970       2.6597
 4349266       2.6601
 7680727       2.6606
 4934800       2.6611
 4869705       2.6628
 4443529       2.6639
 4933921       2.6661
 4557440       2.6667
 8875276       2.6670
 7691302       2.6674
 7682143       2.6678
 4443931       2.6679
 4350822       2.6688
 7685330       2.6702
 4348147       2.6707
 8877619       2.6709
 7680744       2.6718
 4934880       2.6723
 4869732       2.6741
 7682104       2.6761
 4869874       2.6772
 4348173       2.6789
 7682169       2.6790
 4443944       2.6791
 7691327       2.6826
 4401422       2.6854
 7682094       2.6872
 4869891       2.6884
 8019594       2.6895
 4348201       2.6901
 7682302       2.6908
 8877629       2.6913
 8021092       2.6922
 7686820       2.6925
 4401461       2.6935
 7510822       2.6947
 8019881       2.6963
 8021057       2.7006
 7682330       2.7019
 4865755       2.7034
 7688384       2.7042
 4401502       2.7046
 7510841       2.7058
 7688349       2.7073
 8021128       2.7078
 4563172       2.7104
 4562812       2.7128
 8020938       2.7194
 4562832       2.7209
 4563262       2.7214
 8806594       2.7221
 8020832       2.7225
 4401942       2.7228
 8806621       2.7242
 4319289       2.7272
 8021003       2.7298
 4401981       2.7308
 8020592       2.7310
 4562926       2.7319
 4561420       2.7351
 4319302       2.7352
 4561059       2.7375
 8805955       2.7392
 8807236       2.7407
 8805982       2.7412
 8022275       2.7413
 4562893       2.7415
 4402021       2.7418
 8807262       2.7428
 8020928       2.7438
 8022240       2.7444
 4561078       2.7455
 4561509       2.7460
 4319315       2.7461
 8020672       2.7471
 4562986       2.7524
 4561172       2.7564
 4561139       2.7660
 4864723       2.7748
 4561232       2.7768
 7942412       2.7817
 4584302       2.7857
 7993157       2.7858
 8922665       2.7865
 8922684       2.7885
 8735842       2.7905
 4584277       2.7964
 8730900       2.7966
 8921720       2.7974
 7691020       2.7992
 8921738       2.7994
 4584704       2.8003
 8921693       2.8004
 8921702       2.8024
 8033394       2.8028
 7942220       2.8037
 8730687       2.8042
 4861089       2.8068
 7680712       2.8071
 8723566       2.8094
 8731113       2.8109
 4584383       2.8110
 4869715       2.8122
 7691126       2.8129
 8726229       2.8149
 7942230       2.8166
 4861115       2.8174
 8030840       2.8190
 4861248       2.8211
 7681429       2.8216
 4869859       2.8229
 8031587       2.8246
 7680380       2.8280
 8031321       2.8286
 8732074       2.8309
 4861276       2.8316
 8033384       2.8340
 8032026       2.8342
 8033657       2.8375
 8725538       2.8394
 8043886       2.8400
 8033528       2.8416
 8026842       2.8438
 8730660       2.8445
 8033817       2.8482
 7538118       2.8500
 8923048       2.8508
 8033736       2.8511
 8032253       2.8526
 8923074       2.8528
 8922782       2.8582
 8724969       2.8591
 8922781       2.8602
 7538131       2.8605
 8728951       2.8614
 8032734       2.8622
 8033897       2.8624
 8791609       2.8641
 8923367       2.8649
 8923394       2.8668
 8725253       2.8697
 8725111       2.8726
 8725395       2.8838
 4586958       2.8951
 4586717       2.9054
 8730670       2.9334
 4852867       2.9337
 4574195       2.9382
 8731647       2.9396
 8042359       2.9399
 7690928       2.9417
 4852857       2.9439
 4576554       2.9440
 4574115       2.9456
 8731434       2.9472
 4860289       2.9493
 4574995       2.9512
 4580298       2.9513
 4576505       2.9515
 8026832       2.9529
 8786615       2.9532
 8731861       2.9539
 8786685       2.9551
 7690918       2.9555
 4574128       2.9558
 8783477       2.9570
 4576700       2.9576
 4574915       2.9586
 8783754       2.9589
 4860315       2.9594
 4580317       2.9614
 4576528       2.9616
 8026841       2.9621
 4576661       2.9650
 8725944       2.9668
 4574928       2.9687
 8730770       2.9741
 4576674       2.9751
 8042826       2.9778
 8726087       2.9809
 8042816       2.9836
 8928317       2.9851
 8928344       2.9870
 8027107       2.9885
 8042951       2.9907
 8929064       2.9912
 8929090       2.9931
 8728356       2.9968
 8042865       2.9970
 8027587       2.9976
 8928744       2.9987
 8928770       3.0006
 8725558       3.0009
 8042040       3.0032
 8929384       3.0052
 8929411       3.0071
 8042200       3.0099
 8725874       3.0114
 8725802       3.0142
 8928246       3.0251
 8928265       3.0269
 4586389       3.0350
 4586398       3.0449
 4572591       3.0631
 8039320       3.0666
 4572697       3.0691
 4573869       3.0742
 4572643       3.0764
 4573736       3.0814
 4572750       3.0827
 4914193       3.0863
 4573626       3.0874
 8799555       3.0894
 4573636       3.0911
 8799582       3.0912
 4573635       3.0946
 8804674       3.0949
 4914300       3.0960
 8804701       3.0967
 8038840       3.0986
 8800195       3.1017
 4572347       3.1021
 8800221       3.1035
 4573662       3.1042
 8039000       3.1044
 8805315       3.1078
 8805341       3.1096
 8044553       3.1121
 4914833       3.1171
 8044943       3.1180
 4915473       3.1235
 8044748       3.1252
 7942422       3.1258
 4914940       3.1267
 7943035       3.1312
 8043008       3.1314
 4915579       3.1331
 7942769       3.1380
 8039160       3.1394
 7943302       3.1440
 4572346       3.1478
 4589128       3.1497
 4572519       3.1578
 4588981       3.1592
 4572448       3.1605
 8837547       3.1984
 8837570       3.2001
 4911153       3.2091
 3620735       3.2136
 3620815       3.2170
 4911259       3.2184
 8790170       3.2190
 8790222       3.2207
 9455006       3.2250
 4580118       3.2261
 9455046       3.2267
 7605813       3.2343
 4580019       3.2353
 4581195       3.2392
 3620896       3.2419
 7605736       3.2435
 7997175       3.2463
 3620975       3.2464
 7605726       3.2474
 7997181       3.2480
 4581199       3.2485
 4911900       3.2511
 9464878       3.2535
 9464905       3.2553
 7605731       3.2566
 4569219       3.2578
 9450473       3.2584
 8022830       3.2600
 9450501       3.2601
 4569232       3.2670
 8016896       3.2676
 3620522       3.2749
 8038734       3.2752
 8022728       3.2765
 8038680       3.2778
 8788413       3.2809
 3620563       3.2810
 8788768       3.2826
 4568099       3.2852
 8791968       3.2877
 8038787       3.2882
 7997195       3.2891
 8792323       3.2894
 8016927       3.2917
 7997172       3.2935
 4568112       3.2943
 8274252       3.2960
 8783577       3.2961
 8274279       3.2976
 8785021       3.2978
 8026160       3.3000
 4864242       3.3007
 4862427       3.3008
 4589807       3.3046
 8019633       3.3057
 4862419       3.3069
 4864260       3.3098
 4862409       3.3099
 4589811       3.3137
 4862434       3.3138
 4862563       3.3159
 8025681       3.3163
 8026001       3.3188
 4863922       3.3197
 4862412       3.3228
 4863941       3.3287
 3618024       3.3295
 8019584       3.3316
 3618184       3.3331
 8025632       3.3354
 4583792       3.3414
 8019686       3.3440
 4583722       3.3475
 7522423       3.3478
 4583810       3.3503
 4584041       3.3543
 4583717       3.3564
 7522663       3.3567
 3618265       3.3597
 4861956       3.3622
 3617652       3.3626
 4584051       3.3632
 7688846       3.3660
 3617691       3.3679
 4861641       3.3682
 4861975       3.3711
 4862169       3.3750
 9452319       3.3760
 4861655       3.3771
 7510343       3.3777
 7524343       3.3791
 3620602       3.3802
 4861743       3.3808
 9451593       3.3823
 7518488       3.3824
 7500028       3.3828
 4862187       3.3838
 9451606       3.3839
 7510423       3.3865
 9453492       3.3879
 7524582       3.3880
 7498126       3.3890
 7690579       3.3891
 9453519       3.3895
 4861761       3.3897
 7519520       3.3913
 7500107       3.3916
 3617731       3.3939
 7504348       3.3946
 7690406       3.3951
 7498188       3.3978
 7690721       3.4018
 7504427       3.4034
 7690278       3.4076
 7518478       3.4083
 7518647       3.4146
 7538157       3.4153
 7518527       3.4171
 4870674       3.4178
 7540438       3.4203
 7655347       3.4225
 7518701       3.4234
 7538264       3.4240
 4870702       3.4265
 7540519       3.4291
 7655400       3.4313
 7541399       3.4320
 7655333       3.4346
 7539557       3.4352
 7541478       3.4407
 7655387       3.4433
 7535558       3.4484
 4415710       3.4568
 7535612       3.4571
 7536838       3.4572
 7536198       3.4596
 4415736       3.4631
 4533599       3.4645
 7536891       3.4658
 4416403       3.4681
 7536251       3.4682
 7941336       3.4683
 7537477       3.4689
 7941402       3.4699
 4415763       3.4718
 4533612       3.4731
 9497377       3.4741
 4416430       3.4744
 9497412       3.4757
 8012824       3.4765
 7537531       3.4775
 9497376       3.4778
 9497411       3.4794
 4532852       3.4803
 8012926       3.4813
 4415364       3.4815
 7685017       3.4824
 4416456       3.4831
 4415390       3.4878
 3617811       3.4880
